,WT2D,WT2D.1,WT2D.2,WT2D.3,WT2D.4,WT2D.5,WT2D.6,WT2D.7,WT2D.8,WT2D.9,WT2D.10,WT2D.11,WT2D.12,WT2D.13,WT2D.14,WT2D.15,WT2D.16,WT2D.17,WT2D.18,WT2D.19,WT2D.20,WT2D.21,WT2D.22,WT2D.23,WT2D.24,WT2D.25,WT2D.26,WT2D.27,WT2D.28,WT2D.29,WT2D.30,WT2D.31,WT2D.32,WT2D.33,WT2D.34,WT2D.35,WT2D.36,WT2D.37,WT2D.38,WT2D.39,WT2D.40,WT2D.41,WT2D.42,WT2D.43,WT2D.44,WT2D.45,WT2D.46,WT2D.47,WT2D.48,WT2D.49,WT2D.50,WT2D.51,WT2D.52,WT2D.53,WT2D.54,WT2D.55,WT2D.56,WT2D.57,WT2D.58,WT2D.59,WT2D.60,WT2D.61,WT2D.62,WT2D.63,WT2D.64,WT2D.65,WT2D.66,WT2D.67,WT2D.68,WT2D.69,WT2D.70,WT2D.71,WT2D.72,WT2D.73,WT2D.74,WT2D.75,WT2D.76,WT2D.77,WT2D.78,WT2D.79,WT2D.80,WT2D.81,WT2D.82,WT2D.83,WT2D.84,WT2D.85,WT2D.86,WT2D.87,WT2D.88,WT2D.89,WT2D.90,WT2D.91,WT2D.92,WT2D.93,WT2D.94,WT2D.95
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile,4.33e-05,6.52e-05,0.0,1.75e-05,0.0,9.24e-05,2.54e-05,0.0,0.0001162,7e-05,4.58e-05,5.37e-05,6.39e-05,1.14e-05,0.0001887,6.43e-05,0.0,0.0,0.0001078,1.59e-05,0.0004506,0.0,5.5e-06,9.28e-05,0.0,6.8e-05,2.93e-05,0.0,9.09e-05,0.0,0.0,3.71e-05,3.98e-05,0.0,0.0001036,5.73e-05,0.0,0.0001179,4.2e-05,4.75e-05,1.58e-05,8.7e-05,0.0001029,5.73e-05,0.0001362,6.9e-06,0.0,3.35e-05,0.0001122,0.0006707,0.0002297,6.7e-06,6.46e-05,9.17e-05,0.0,9.83e-05,4.2e-05,2.86e-05,5.23e-05,8.4e-05,5.97e-05,5.88e-05,0.0,8.96e-05,9.75e-05,5.92e-05,3.76e-05,4.23e-05,5.3e-05,0.0001669,0.0,0.0,0.0001578,0.0001237,0.0,7.97e-05,0.0,0.0002643,0.0,0.0001256,0.0001061,6.25e-05,7.35e-05,0.0,2.38e-05,0.0,0.0001797,2.34e-05,0.0,0.0,0.0,0.0,0.0018821,5.82e-05,0.003386201,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,0.0,9.08e-05,0.0,0.0,6.74e-05,0.0001874,3.07e-05,0.0,5.34e-05,0.0001213,0.001826698,0.0003485,1e-05,6.3e-06,9.07e-05,3.65e-05,0.0,0.0,0.0002384,0.0,0.0,0.0001965,0.00558,0.0,0.0015882,0.0002301,0.0007267,0.0004344,3.94e-05,0.0154884,0.0,0.0,2.03e-05,0.0,0.0,0.0,3.45e-05,0.000143,0.0,0.0,0.0,5.38e-05,0.0,0.0097777,1.65e-05,8.94e-05,6.34e-05,0.0,0.0,0.0011651,1.87e-05,2.14e-05,4.56e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.35e-05,0.0,0.0010087,1.14e-05,0.0,4.28e-05,7.56e-05,4.41e-05,2.5e-06,0.0,6.2e-06,3.5e-06,0.0,0.0001102,0.0010595,1.14e-05,0.0007779,8.51e-05,0.0004568,1.58e-05,1.39e-05,0.0,6.11e-05,0.000158,0.0,7.49e-05,0.0,0.0005515,0.0,0.0,0.0,1.31e-05,0.0,0.0,0.000143,0.0002457,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,0.0006678,0.006332899,0.068552479,0.001323401,0.032551497,0.0002137,0.0014082,0.0,0.022070704,0.004845,0.0,0.141118886,0.039056204,0.013044901,0.079338152,0.001924801,0.0003458,0.003365999,0.0,0.0040022,0.0,0.0004872,0.0014114,0.005822501,0.0004472,0.005508701,0.0016196,0.0,0.0005259,0.0030396,0.0015674,0.0003364,0.0,0.0006667,0.0024673,0.0005343,0.030403497,0.0010849,0.017952907,0.0013345,0.0,0.0,0.032880213,0.0069881,0.0,0.0026813,0.014721604,0.146794171,0.0,0.0,0.0028107,0.00453,0.0018687,0.0,0.003106999,0.012988696,4.63e-05,0.003067201,0.0123313,0.048467005,0.003149799,1.88e-05,0.001139,0.0025216,0.008361798,0.015585894,0.0,0.0011035,0.000178,0.016442695,0.0003391,0.0002055,0.006028199,0.060183994,0.0004888,0.0008922,0.004681,0.0001623,0.016350297,0.0,0.0032272,0.0045874,0.0020157,0.028030594,0.009575595,0.0,0.037501992,0.085829409,0.0002288,0.0018864,0.032004306,0.0008312,0.0190068,0.003573201,0.036872415,0.0003214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,0.0,0.012052799,0.0,0.004325503,0.0,0.0,0.0,0.0002143,0.007780402,0.0036957,0.0,0.0017998,0.0038007,0.0014437,0.0,0.002277301,0.0,0.0,0.0,0.0,0.0,0.0,0.0220624,0.011068202,0.0,3.08e-05,0.0,0.0,0.0008949,0.0,0.0,0.0,0.006802001,0.0001181,0.0,0.0,0.0001668,0.0,0.002796401,0.0002762,0.0037651,0.015655897,0.038546915,0.0,0.0,0.0,0.0,0.0,0.0,0.0092501,0.0029236,0.0,0.0,0.0007447,0.024543895,4.36e-05,0.0036825,0.0,0.0031309,0.0,0.0,0.0011416,0.0,3.5e-05,0.0,0.0,0.002854899,0.012898903,0.0,0.0,0.0644886,0.0,0.0009414,0.0,0.0,0.0,0.0,0.002589698,0.0,0.010099695,0.0,3.83e-05,8.7e-06,7.85e-05,0.002092599,0.0,0.0,2.07e-05,0.0003083,0.0,0.005584101,0.0,0.0,0.0,0.0,0.004326002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003845101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064071,0.0,0.0,0.0,0.0,0.0,0.0,0.0030332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022504,0.0,0.0,0.0045515,0.0,0.0,0.0,0.0,0.0,0.0,0.004725196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_chrysogenum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_succinatiphilus,0.0,0.0,0.0,0.0005135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010929504,0.0,0.0,0.010224898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017836604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021459296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,0.0,0.022408498,0.019971894,0.001132101,0.002694,0.0,0.022330702,0.002683499,0.063790313,0.010922699,0.0,0.011582599,1.06e-05,0.008319101,0.0,0.002663902,0.0,0.002710299,0.008695404,0.000939,0.002242,0.0400775,0.0026916,0.004324001,0.008346398,0.008032502,0.0031536,0.0,0.002637301,0.0097368,0.0029398,0.0009435,0.0,0.0004419,0.0,0.0,0.006900299,0.0047587,0.008595903,0.0,0.0,0.0012268,0.0005232,0.0073845,0.013782804,0.050759595,0.052455716,0.0,0.035403311,0.0326776,0.0003397,0.0178214,0.0020603,4.09e-05,0.007096299,0.003527999,0.0260034,0.003984201,0.0,0.006409801,0.015924097,0.0041586,0.007357698,0.006387,0.0,0.005097898,0.0,0.0012171,0.004770198,0.012282296,0.0154975,4.39e-05,0.0,0.017836198,0.0,0.0269735,0.011282699,0.002405098,0.016720397,0.006605897,0.0116449,0.023810998,0.021427002,0.003908499,0.003000398,0.0007553,0.0,0.014032401,0.011156507,0.052937411,0.012381602,0.0039145,0.0043989,0.002024601,0.0012075,0.0006899
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified,0.0,5.83e-05,0.0001896,0.0,0.0012479,0.0003275,0.0,0.0,0.000668,0.0,0.0,0.0,7.52e-05,0.034116603,0.0,0.001778201,0.0,0.0,0.0003247,0.0,0.0,0.0470532,0.0,0.0,0.0,0.0001017,0.0002263,0.0,0.0,2.14e-05,0.0015594,0.0002398,0.0001614,0.0,0.0,0.0,0.0001385,0.0001079,0.0,0.006117001,5.52e-05,0.0,0.0002448,0.0,0.0,5.03e-05,0.0,0.0,0.0001988,0.0005922,3.13e-05,0.0007142,0.0003219,1.56e-05,0.0001382,0.0,0.0022653,3.41e-05,7.44e-05,4.11e-05,0.0,1.39e-05,0.0002301,4.95e-05,0.0005337,0.0,0.0004912,0.0,0.0008792,0.0001845,0.0004684,0.0,0.0004622,3.55e-05,0.0005052,0.000756,0.014563499,5.06e-05,0.0003577,0.0,0.0,0.0,3.9e-06,0.0015673,6.24e-05,0.0,0.0018,0.010751801,0.0,0.0,0.005821001,0.0001197,0.0,0.0002655,2.2e-06,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,0.0,0.0,0.0,0.0,0.0,0.015220802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026755305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
